iso_timestamp,surveyor_id,survey_type,request_seq,batch_size,http_status,outcome,ack_count,latency_ms,response_body
2026-08-27T14:25:58.837Z,LOADTEST-T-JUNCTION-03,t-junction,7,30,200,success,30,12983,"{""status"":""success"",""count"":30}"
2026-08-27T14:25:59.291Z,LOADTEST-MAIN-ROAD-01,main-road,6,30,200,success,30,16811,"{""status"":""success"",""count"":30}"
2026-08-27T14:26:00.024Z,LOADTEST-ROUNDABOUT-02,roundabout,6,15,200,success,15,18820,"{""status"":""success"",""count"":15}"
2026-08-27T14:26:13.653Z,LOADTEST-PEDESTRIAN-04,pedestrian,9,15,200,success,15,14631,"{""status"":""success"",""count"":15}"
2026-08-27T14:26:13.654Z,LOADTEST-BUS-IDLING-05,bus-idling,9,15,200,success,15,17962,"{""status"":""success"",""count"":15}"
2026-08-27T14:26:13.839Z,LOADTEST-T-JUNCTION-03,t-junction,8,15,200,success,15,21240,"{""status"":""success"",""count"":15}"
2026-08-27T14:26:15.426Z,LOADTEST-INSTITUTIONAL-IDLING-06,institutional-idling,6,30,200,success,30,21489,"{""status"":""success"",""count"":30}"
2026-08-27T14:26:28.654Z,LOADTEST-PEDESTRIAN-04,pedestrian,10,15,200,success,15,11379,"{""status"":""success"",""count"":15}"
2026-08-27T14:26:29.305Z,LOADTEST-MAIN-ROAD-01,main-road,7,29,200,success,29,13751,"{""status"":""success"",""count"":29}"
2026-08-27T14:26:30.051Z,LOADTEST-ROUNDABOUT-02,roundabout,7,30,200,success,30,16411,"{""status"":""success"",""count"":30}"
2026-08-27T14:26:43.654Z,LOADTEST-PEDESTRIAN-04,pedestrian,11,15,200,success,15,6357,"{""status"":""success"",""count"":15}"
2026-08-27T14:26:43.656Z,LOADTEST-BUS-IDLING-05,bus-idling,10,30,200,success,30,11555,"{""status"":""success"",""count"":30}"
2026-08-27T14:26:43.869Z,LOADTEST-T-JUNCTION-03,t-junction,9,30,200,success,30,13479,"{""status"":""success"",""count"":30}"
2026-08-27T14:26:44.320Z,LOADTEST-MAIN-ROAD-01,main-road,8,15,200,success,15,17254,"{""status"":""success"",""count"":15}"
2026-08-27T14:26:45.439Z,LOADTEST-INSTITUTIONAL-IDLING-06,institutional-idling,7,29,200,success,29,19573,"{""status"":""success"",""count"":29}"
2026-08-27T14:26:58.663Z,LOADTEST-PEDESTRIAN-04,pedestrian,12,14,200,success,14,9022,"{""status"":""success"",""count"":14}"
2026-08-27T14:26:58.663Z,LOADTEST-BUS-IDLING-05,bus-idling,11,14,200,success,14,12845,"{""status"":""success"",""count"":14}"
2026-08-27T14:26:58.882Z,LOADTEST-T-JUNCTION-03,t-junction,10,15,200,success,15,17911,"{""status"":""success"",""count"":15}"
2026-08-27T14:27:00.061Z,LOADTEST-ROUNDABOUT-02,roundabout,8,30,200,success,30,20203,"{""status"":""success"",""count"":30}"
2026-08-27T14:27:13.664Z,LOADTEST-PEDESTRIAN-04,pedestrian,13,15,200,success,15,10099,"{""status"":""success"",""count"":15}"
2026-08-27T14:27:13.664Z,LOADTEST-BUS-IDLING-05,bus-idling,12,15,200,success,15,12810,"{""status"":""success"",""count"":15}"
2026-08-27T14:27:14.333Z,LOADTEST-MAIN-ROAD-01,main-road,9,30,200,success,30,14866,"{""status"":""success"",""count"":30}"
2026-08-27T14:27:15.451Z,LOADTEST-INSTITUTIONAL-IDLING-06,institutional-idling,8,30,200,success,30,17756,"{""status"":""success"",""count"":30}"
2026-08-27T14:27:28.678Z,LOADTEST-PEDESTRIAN-04,pedestrian,14,15,200,success,15,10262,"{""status"":""success"",""count"":15}"
2026-08-27T14:27:28.678Z,LOADTEST-BUS-IDLING-05,bus-idling,13,15,200,success,15,12359,"{""status"":""success"",""count"":15}"
2026-08-27T14:27:28.898Z,LOADTEST-T-JUNCTION-03,t-junction,11,29,200,success,29,15140,"{""status"":""success"",""count"":29}"
2026-08-27T14:27:29.346Z,LOADTEST-MAIN-ROAD-01,main-road,10,15,200,success,15,19240,"{""status"":""success"",""count"":15}"
2026-08-27T14:27:30.079Z,LOADTEST-ROUNDABOUT-02,roundabout,9,30,200,success,30,24377,"{""status"":""success"",""count"":30}"
2026-08-27T14:27:43.679Z,LOADTEST-PEDESTRIAN-04,pedestrian,15,15,200,success,15,15607,"{""status"":""success"",""count"":15}"
2026-08-27T14:27:43.679Z,LOADTEST-BUS-IDLING-05,bus-idling,14,15,200,success,15,19739,"{""status"":""success"",""count"":15}"
2026-08-27T14:27:45.473Z,LOADTEST-INSTITUTIONAL-IDLING-06,institutional-idling,9,30,200,success,30,19829,"{""status"":""success"",""count"":30}"
2026-08-27T14:27:58.912Z,LOADTEST-T-JUNCTION-03,t-junction,12,30,200,success,30,9515,"{""status"":""success"",""count"":30}"
2026-08-27T14:27:59.375Z,LOADTEST-MAIN-ROAD-01,main-road,11,30,200,success,30,12466,"{""status"":""success"",""count"":30}"
2026-08-27T14:28:00.094Z,LOADTEST-ROUNDABOUT-02,roundabout,10,29,200,success,29,15289,"{""status"":""success"",""count"":29}"
2026-08-27T14:28:13.710Z,LOADTEST-PEDESTRIAN-04,pedestrian,16,30,200,success,30,5877,"{""status"":""success"",""count"":30}"
2026-08-27T14:28:13.711Z,LOADTEST-BUS-IDLING-05,bus-idling,15,30,200,success,30,7871,"{""status"":""success"",""count"":30}"
2026-08-27T14:28:13.926Z,LOADTEST-T-JUNCTION-03,t-junction,13,15,200,success,15,10469,"{""status"":""success"",""count"":15}"
2026-08-27T14:28:14.379Z,LOADTEST-MAIN-ROAD-01,main-road,12,15,200,success,15,12778,"{""status"":""success"",""count"":15}"
2026-08-27T14:28:15.482Z,LOADTEST-INSTITUTIONAL-IDLING-06,institutional-idling,10,30,200,success,30,14810,"{""status"":""success"",""count"":30}"
2026-08-27T14:28:28.724Z,LOADTEST-PEDESTRIAN-04,pedestrian,17,15,200,success,15,4918,"{""status"":""success"",""count"":15}"
2026-08-27T14:28:28.724Z,LOADTEST-BUS-IDLING-05,bus-idling,16,15,200,success,15,7932,"{""status"":""success"",""count"":15}"
2026-08-27T14:28:28.939Z,LOADTEST-T-JUNCTION-03,t-junction,14,15,200,success,15,11201,"{""status"":""success"",""count"":15}"
2026-08-27T14:28:29.385Z,LOADTEST-MAIN-ROAD-01,main-road,13,14,200,success,14,13122,"{""status"":""success"",""count"":14}"
2026-08-27T14:28:30.101Z,LOADTEST-ROUNDABOUT-02,roundabout,11,30,200,success,30,15019,"{""status"":""success"",""count"":30}"
2026-08-27T14:28:30.489Z,LOADTEST-INSTITUTIONAL-IDLING-06,institutional-idling,11,15,200,success,15,17607,"{""status"":""success"",""count"":15}"
2026-08-27T14:28:43.733Z,LOADTEST-PEDESTRIAN-04,pedestrian,18,15,200,success,15,6053,"{""status"":""success"",""count"":15}"
2026-08-27T14:28:43.733Z,LOADTEST-BUS-IDLING-05,bus-idling,17,15,200,success,15,9554,"{""status"":""success"",""count"":15}"
